marianorajoy,PP
mariueugene,PP
martaglezvzqz,PP
martinezmaillo,PP
martintoledano,PP
MateoIsern,PP
MatildeAsian,PP
Mbonilladomingu,PP
mcduenas,PP
mdcospedal,PP
Miguel_Viso,PP
MoroMjesus,PP
OscarClavell,PP
pablocasado_,PP
Quin1954,PP
QuintanillaCarm,PP
Rafa_Hernando,PP
RafaCatalaPolo,PP
RicardoTarno,PP
rosaromerocr,PP
santia2015,PP
Sorayapp,PP
susanalopezares,PP
svalmana,PP
teofila_es,PP
teogarciaegea,PP
TomasBurgosVa,PP
zoidoalcalde,PP
AnaAlos,PP-PAR
eloysuarezl,PP-PAR
herrerobono,PP-PAR
carmechacon,PSC-PSOE
grman_rodriguez,PSC-PSOE
jruizcarbonell,PSC-PSOE
lidiaguinart,PSC-PSOE
merceperea,PSC-PSOE
monicalafuente,PSC-PSOE
abalosmeco,PSOE
Adrilastra,PSOE
AHernandoVera,PSOE
AlconchelMiriam,PSOE
AntonioHurtado,PSOE
antoniotrevin,PSOE
CarmenRCuello,PSOE
CesarJRamos,PSOE
cesarluena,PSOE
dvserrada,PSOE
ElviraRamon,PSOE
encinasalvador1,PSOE
estherpcamarero,PSOE
fargmira,PSOE
felipe_sicilia,PSOE
gpalacinguarne,PSOE
GregorioCmara,PSOE
Guadalupem1960,PSOE
guillermomeijon,PSOE
herick_campos,PSOE
Hernanzsofia,PSOE
isabelrguez,PSOE
iurquizu,PSOE
jatorresmora,PSOE
javieranton,PSOE
JoseMGirela,PSOE
JoseMiguelCama1,PSOE
juanjimenezt,PSOE
juanluisgordo,PSOE
JuLMilla,PSOE
LasarteJavier,PSOE
lcsahuquillo,PSOE
LimonesAG,PSOE
lozanoirene,PSOE
lucio_pilar,PSOE
LuzPSOE,PSOE
luzseijo,PSOE
M_Aurora_Florez,PSOE
maherediadiaz,PSOE
MarcLamua,PSOE
mariagv,PSOE
marisolazuaga,PSOE
micaela_navarro,PSOE
Mjesusserranoj,PSOE
NachoSAmor,PSOE
odonelorza2011,PSOE
Patri_Blanquer,PSOE
patxilopez,PSOE
paz_moral,PSOE
pedrosaurag,PSOE
pepa_bayo,PSOE
pilar_serrano_,PSOE
PiliCancela,PSOE
PradasTorres,PSOE
psierra8rojas,PSOE
Puerto_Gallego,PSOE
RalloArtemi,PSOE
ramonsocias,PSOE
rominguera,PSOE
sanchezcastejon,PSOE
SimancasRafael,PSOE
soniafetesoro,PSOE
sorayapsoe,PSOE
SSumelzo,PSOE
SuchMaria,PSOE
ZaidaCantera,PSOE
chanofranquis,PSOE-NCa
PedroQuevedoIt,PSOE-NCa
tamarayar,PSOE-NCa
ccsalvador_,UPN-PP
inigoalli,UPN-PP
